dystans_cm,powtorzenie,nr_probki,h_tors
600.0,2,1,40.0
600.0,2,2,38.0
600.0,2,3,39.5
600.0,2,4,39.5
600.0,2,5,38.5
600.0,2,6,39.0
600.0,2,7,38.5
600.0,2,8,39.0
600.0,2,9,38.0
600.0,2,10,38.5
600.0,2,11,38.5
600.0,2,12,38.0
600.0,2,13,38.0
600.0,2,14,38.0
600.0,2,15,39.0
600.0,2,16,39.5
600.0,2,17,39.5
600.0,2,18,39.5
600.0,2,19,38.5
600.0,2,20,39.0
600.0,2,21,37.0
600.0,2,22,37.0
600.0,2,23,38.0
600.0,2,24,38.5
600.0,2,25,39.5
600.0,2,26,39.5
600.0,2,27,41.0
600.0,2,28,41.0
600.0,2,29,39.5
600.0,2,30,41.0
600.0,3,1,40.0
600.0,3,2,38.0
600.0,3,3,38.5
600.0,3,4,38.0
600.0,3,5,40.5
600.0,3,6,39.5
600.0,3,7,40.0
600.0,3,8,39.0
600.0,3,9,39.0
600.0,3,10,42.0
600.0,3,11,41.5
600.0,3,12,42.0
600.0,3,13,40.0
600.0,3,14,37.0
600.0,3,15,38.5
600.0,3,16,39.0
600.0,3,17,39.0
600.0,3,18,37.0
600.0,3,19,36.0
600.0,3,20,37.5
600.0,3,21,35.5
600.0,3,22,37.0
600.0,3,23,37.5
600.0,3,24,38.0
600.0,3,25,38.0
600.0,3,26,38.0
600.0,3,27,38.0
600.0,3,28,39.0
600.0,3,29,40.5
600.0,3,30,39.0
800.0,1,1,31.0
800.0,1,2,32.5
800.0,1,3,32.5
800.0,1,4,33.0
800.0,1,5,32.5
800.0,1,6,31.5
800.0,1,7,31.5
800.0,1,8,31.5
800.0,1,9,32.0
800.0,1,10,32.0
800.0,1,11,32.0
800.0,1,12,31.0
800.0,1,13,32.0
800.0,1,14,31.5
800.0,1,15,32.5
800.0,1,16,32.0
800.0,1,17,31.5
800.0,1,18,31.5
800.0,1,19,30.5
800.0,1,20,31.5
800.0,1,21,30.5
800.0,1,22,30.5
800.0,1,23,31.0
800.0,1,24,30.0
800.0,1,25,30.0
800.0,1,26,31.0
800.0,1,27,30.5
800.0,1,28,30.0
800.0,1,29,31.0
800.0,1,30,30.5
800.0,2,1,30.5
800.0,2,2,31.0
800.0,2,3,30.5
800.0,2,4,31.0
800.0,2,5,31.5
800.0,2,6,31.0
800.0,2,7,31.0
800.0,2,8,30.5
800.0,2,9,30.5
800.0,2,10,30.0
800.0,2,11,30.5
800.0,2,12,31.5
800.0,2,13,31.0
800.0,2,14,31.5
800.0,2,15,30.0
800.0,2,16,30.0
800.0,2,17,30.5
800.0,2,18,30.0
800.0,2,19,31.0
800.0,2,20,30.0
800.0,2,21,30.5
800.0,2,22,30.5
800.0,2,23,31.5
800.0,2,24,29.5
800.0,2,25,29.0
800.0,2,26,30.0
800.0,2,27,30.5
800.0,2,28,31.0
800.0,2,29,31.0
800.0,2,30,31.0
800.0,3,1,31.0
800.0,3,2,30.5
800.0,3,3,30.5
800.0,3,4,30.0
800.0,3,5,30.5
800.0,3,6,30.0
800.0,3,7,31.0
800.0,3,8,30.5
800.0,3,9,30.5
800.0,3,10,30.5
800.0,3,11,30.0
800.0,3,12,30.0
800.0,3,13,30.5
800.0,3,14,31.0
800.0,3,15,30.0
800.0,3,16,30.5
800.0,3,17,30.5
800.0,3,18,30.0
800.0,3,19,30.5
800.0,3,20,30.0
800.0,3,21,29.5
800.0,3,22,30.5
800.0,3,23,30.0
800.0,3,24,29.5
800.0,3,25,30.0
800.0,3,26,30.5
800.0,3,27,30.5
800.0,3,28,31.0
800.0,3,29,31.0
800.0,3,30,29.5
1000.0,1,1,26.5
1000.0,1,2,25.5
1000.0,1,3,25.5
1000.0,1,4,26.0
1000.0,1,5,26.0
1000.0,1,6,25.5
1000.0,1,7,25.5
1000.0,1,8,26.0
1000.0,1,9,25.5
1000.0,1,10,26.0
1000.0,1,11,25.5
1000.0,1,12,25.5
1000.0,1,13,25.5
1000.0,1,14,25.5
1000.0,1,15,25.0
1000.0,1,16,25.0
1000.0,1,17,25.0
1000.0,1,18,26.0
1000.0,1,19,25.5
1000.0,1,20,25.0
1000.0,1,21,25.5
1000.0,1,22,25.5
1000.0,1,23,25.5
1000.0,1,24,25.0
1000.0,1,25,24.5
1000.0,1,26,26.0
1000.0,1,27,26.0
1000.0,1,28,26.0
1000.0,1,29,24.5
1000.0,1,30,26.5
1000.0,2,1,25.0
1000.0,2,2,25.0
1000.0,2,3,25.0
1000.0,2,4,26.0
1000.0,2,5,26.0
1000.0,2,6,25.0
1000.0,2,7,26.0
1000.0,2,8,26.0
1000.0,2,9,26.0
1000.0,2,10,25.0
1000.0,2,11,25.0
1000.0,2,12,25.5
1000.0,2,13,26.0
1000.0,2,14,26.0
1000.0,2,15,26.5
1000.0,2,16,26.5
1000.0,2,17,25.5
1000.0,2,18,25.5
1000.0,2,19,25.0
1000.0,2,20,25.5
1000.0,2,21,26.0
1000.0,2,22,25.0
1000.0,2,23,25.5
1000.0,2,24,25.0
1000.0,2,25,25.0
1000.0,2,26,25.5
1000.0,2,27,26.5
1000.0,2,28,26.0
1000.0,2,29,25.0
1000.0,2,30,25.5
1000.0,3,1,25.5
1000.0,3,2,25.0
1000.0,3,3,27.0
1000.0,3,4,26.0
1000.0,3,5,25.5
1000.0,3,6,25.0
1000.0,3,7,24.5
1000.0,3,8,26.0
1000.0,3,9,26.0
1000.0,3,10,26.0
1000.0,3,11,26.5
1000.0,3,12,26.0
1000.0,3,13,26.0
1000.0,3,14,25.5
1000.0,3,15,26.0
1000.0,3,16,25.5
1000.0,3,17,25.0
1000.0,3,18,25.0
